City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Johnson City,US,36.3134,-82.3535,75.43,73,20,0.0,few clouds
1,Bria,CF,6.5423,21.9863,66.27,98,100,1.25,overcast clouds
2,Bredasdorp,ZA,-34.5322,20.0403,55.74,62,27,11.68,scattered clouds
3,Port Alfred,ZA,-33.5906,26.891,65.17,61,0,4.0,clear sky
4,Tay Ninh,VN,11.3,106.1,87.22,66,5,6.49,clear sky
5,Bogacs,HU,47.9,20.5333,68.05,68,79,4.88,broken clouds
6,Russell,US,32.3502,-85.1999,82.9,74,0,0.0,clear sky
7,New Norfolk,AU,-42.7826,147.0587,48.92,45,71,7.2,broken clouds
8,Bantou,CN,26.2151,117.4893,95.86,47,36,1.88,scattered clouds
9,Busselton,AU,-33.65,115.3333,60.66,61,90,21.99,overcast clouds
10,Castro,BR,-24.7911,-50.0119,59.36,68,68,5.32,broken clouds
11,Sao Filipe,CV,14.8961,-24.4956,78.48,77,2,15.03,clear sky
12,Terenos,BR,-20.4422,-54.8603,74.91,46,0,9.22,clear sky
13,Punta Arenas,CL,-53.15,-70.9167,39.31,87,40,26.46,scattered clouds
14,Rikitea,PF,-23.1203,-134.9692,73.29,74,9,20.67,light rain
15,Vaini,TO,-21.2,-175.2,80.76,89,20,8.05,few clouds
16,Hami,CN,42.8,93.45,93.81,13,100,10.85,overcast clouds
17,Pevek,RU,69.7008,170.3133,41.32,74,100,6.15,overcast clouds
18,Heihe,CN,50.2441,127.4902,73.98,96,100,4.52,moderate rain
19,Esperance,AU,-33.8667,121.9,66.02,69,95,14.83,overcast clouds
20,Zakamensk,RU,50.3741,103.2863,67.59,52,87,2.35,heavy intensity rain
21,Brae,GB,60.3964,-1.353,53.1,86,93,10.22,overcast clouds
22,Namibe,AO,-15.1961,12.1522,59.77,83,60,8.08,broken clouds
23,Mataura,NZ,-46.1927,168.8643,47.48,77,94,5.01,overcast clouds
24,Tabory,RU,58.5198,64.5495,63.14,64,52,8.3,broken clouds
25,Samarai,PG,-10.6167,150.6667,79.25,85,68,13.89,broken clouds
26,Shingu,JP,33.7333,135.9833,85.62,70,41,8.81,scattered clouds
27,Wanaka,NZ,-44.7,169.15,44.31,82,86,3.62,overcast clouds
28,Mahanoro,MG,-19.9,48.8,66.4,93,99,5.21,light rain
29,Hermanus,ZA,-34.4187,19.2345,59.81,75,87,22.15,overcast clouds
30,Qaanaaq,GL,77.484,-69.3632,37.98,76,59,3.04,broken clouds
31,Cap-Aux-Meules,CA,47.3821,-61.8597,64.45,88,0,6.91,clear sky
32,Digha,IN,21.6833,87.55,87.64,69,31,9.75,scattered clouds
33,Camargo,MX,27.6667,-105.1667,80.04,43,46,16.84,scattered clouds
34,Khatanga,RU,71.9667,102.5,70.83,48,82,5.79,broken clouds
35,Hobart,AU,-42.8794,147.3294,49.26,65,20,12.66,few clouds
36,Bratsk,RU,56.1325,101.6142,59.49,99,100,7.76,moderate rain
37,Mar Del Plata,AR,-38.0023,-57.5575,47.08,86,100,9.22,drizzle
38,Ushuaia,AR,-54.8,-68.3,40.66,81,75,14.97,light rain
39,Bubaque,GW,11.2833,-15.8333,78.89,83,15,17.18,light rain
40,Bethel,US,41.3712,-73.414,79.75,94,88,4.52,overcast clouds
41,Poum,NC,-20.2333,164.0167,72.25,72,98,7.0,overcast clouds
42,Rio Grande,BR,-32.035,-52.0986,49.95,81,53,21.85,broken clouds
43,Jumla,NP,29.2747,82.1838,65.05,91,99,3.0,moderate rain
44,Pundaguitan,PH,6.3711,126.1689,83.84,74,91,10.87,overcast clouds
45,Goure,NE,13.9835,10.2704,77.02,66,100,7.29,overcast clouds
46,Albany,US,42.6001,-73.9662,72.79,93,4,3.53,clear sky
47,Aksarka,RU,66.5606,67.7975,70.88,49,76,9.01,broken clouds
48,Puerto Ayacucho,VE,5.6639,-67.6236,73.15,95,92,1.21,overcast clouds
49,Vao,NC,-22.6667,167.4833,69.53,66,34,11.97,scattered clouds
50,Vila Do Maio,CV,15.1333,-23.2167,81.39,78,8,14.36,clear sky
51,Svetlaya,RU,46.5389,138.3297,73.56,80,100,7.25,overcast clouds
52,Shambu,ET,9.5667,37.1,50.74,97,100,0.58,light rain
53,Thompson,CA,55.7435,-97.8558,69.96,52,40,0.0,scattered clouds
54,Yellowknife,CA,62.456,-114.3525,66.72,45,75,14.97,broken clouds
55,Jamestown,US,42.097,-79.2353,74.79,61,0,9.22,clear sky
56,Kaitangata,NZ,-46.2817,169.8464,48.0,71,97,8.01,overcast clouds
57,Elat,IL,29.5581,34.9482,84.04,37,0,11.5,clear sky
58,Bengkulu,ID,-3.8004,102.2655,84.0,66,78,5.01,broken clouds
59,Narsaq,GL,60.9167,-46.05,48.42,67,69,1.48,broken clouds
60,Carnarvon,AU,-24.8667,113.6333,72.01,61,100,4.94,light rain
61,Cockburn Town,TC,21.4612,-71.1419,81.64,75,76,21.3,broken clouds
62,Torbay,CA,47.6666,-52.7314,54.57,93,100,11.01,overcast clouds
63,Port Blair,IN,11.6667,92.75,82.44,89,40,2.3,mist
64,Magadan,RU,59.5667,150.8,60.53,91,100,5.7,light rain
65,Kodiak,US,57.79,-152.4072,63.91,52,0,4.61,clear sky
66,Calama,CL,-22.4667,-68.9333,50.49,12,7,17.27,clear sky
67,Hilo,US,19.7297,-155.09,82.26,72,0,10.36,clear sky
68,Yar-Sale,RU,66.8333,70.8333,69.98,54,77,9.75,broken clouds
69,Leningradskiy,RU,69.3833,178.4167,43.39,73,84,10.16,broken clouds
70,Santa Cruz,BO,-17.8,-63.1667,71.06,88,20,5.75,few clouds
71,Marawi,PH,7.9986,124.2928,82.11,62,99,3.96,overcast clouds
72,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,56,4.0,broken clouds
73,Oussouye,SN,12.485,-16.5469,78.82,82,77,10.49,broken clouds
74,Roebourne,AU,-20.7833,117.1333,77.18,20,31,13.82,scattered clouds
75,Chokurdakh,RU,70.6333,147.9167,62.69,29,98,15.1,overcast clouds
76,Charagua,BO,-19.8,-63.2167,59.72,67,72,15.61,broken clouds
77,Barrow,US,71.2906,-156.7887,35.62,93,100,16.11,mist
78,Griffith,US,41.5284,-87.4237,75.88,69,40,11.5,scattered clouds
79,Tianpeng,CN,30.9866,103.9393,84.67,72,51,3.98,broken clouds
80,Venosa,IT,40.9613,15.8149,70.99,70,0,3.98,clear sky
81,Luderitz,NA,-26.6481,15.1594,52.2,86,79,4.14,broken clouds
82,Sitka,US,57.0531,-135.33,60.69,88,100,8.05,moderate rain
83,Qui Nhon,VN,13.7667,109.2333,87.78,65,47,5.12,scattered clouds
84,Ladario,BR,-19.0047,-57.6017,72.03,35,4,2.48,clear sky
85,Saint-Philippe,RE,-21.3585,55.7679,65.21,82,37,7.99,scattered clouds
86,Longyearbyen,SJ,78.2186,15.6401,42.64,87,75,6.91,light intensity drizzle
87,Vila,PT,42.0304,-8.1588,55.71,86,0,4.34,clear sky
88,Belle Fourche,US,44.6714,-103.8522,74.32,29,0,5.97,clear sky
89,Hasaki,JP,35.7333,140.8333,93.29,75,4,15.93,clear sky
90,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.22,50,1,0.92,clear sky
91,Kapaa,US,22.0752,-159.319,84.18,72,75,5.75,broken clouds
92,Shimoda,JP,34.6667,138.95,89.1,72,2,8.61,clear sky
93,Kayankulam,IN,9.1833,76.5,78.96,87,93,4.41,overcast clouds
94,Mahanje,TZ,-9.9333,35.3333,54.12,90,23,2.55,few clouds
95,Tiznit,MA,29.5833,-9.5,72.93,54,0,1.36,clear sky
96,Arraial Do Cabo,BR,-22.9661,-42.0278,70.61,88,15,23.11,few clouds
97,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,46,100,42.57,overcast clouds
98,Port Elizabeth,ZA,-33.918,25.5701,62.31,70,0,4.0,clear sky
99,Norman Wells,CA,65.282,-126.8329,68.04,34,20,3.44,few clouds
100,Guhagar,IN,17.4842,73.1929,81.1,84,100,6.06,overcast clouds
101,Airai,TL,-8.9266,125.4092,70.75,41,53,4.56,broken clouds
102,Port-Gentil,GA,-0.7193,8.7815,73.2,80,100,10.47,overcast clouds
103,Lumphat,KH,13.4878,106.9816,85.41,73,59,4.05,broken clouds
104,Camacha,PT,33.0833,-16.3333,67.42,83,40,16.11,scattered clouds
105,Emba,KZ,48.8264,58.1442,73.9,46,32,4.34,scattered clouds
106,Ketchikan,US,55.3422,-131.6461,75.67,60,0,10.36,clear sky
107,Pisco,PE,-13.7,-76.2167,60.85,82,100,6.91,mist
108,Bluff,NZ,-46.6,168.3333,47.8,86,99,20.38,light rain
109,Vostok,RU,46.4856,135.8833,87.17,46,100,1.39,overcast clouds
110,Roald,NO,62.5833,6.1333,54.75,93,100,3.44,overcast clouds
111,Shaunavon,CA,49.6501,-108.4181,70.14,38,0,8.66,clear sky
112,Meulaboh,ID,4.1363,96.1285,74.66,97,100,3.83,moderate rain
113,Maceio,BR,-9.6658,-35.7353,74.64,94,30,3.44,fog
114,Yining,CN,29.0361,114.5636,92.46,57,12,1.57,few clouds
115,Komsomolskiy,UZ,40.4272,71.7189,88.52,16,84,20.71,broken clouds
116,Ermoupolis,GR,37.4423,24.9425,76.57,73,0,13.8,clear sky
117,Atuona,PF,-9.8,-139.0333,76.89,78,33,22.77,light rain
118,Det Udom,TH,14.906,105.0784,87.62,63,66,5.66,broken clouds
119,Porterville,US,36.0652,-119.0168,96.75,23,0,0.0,clear sky
120,Zhigansk,RU,66.7697,123.3711,78.85,47,95,3.33,overcast clouds
121,Vila Velha,BR,-20.3297,-40.2925,71.55,85,0,5.75,clear sky
122,Nueva Loja,EC,0.0847,-76.8828,68.04,96,30,1.77,scattered clouds
123,Vanimo,PG,-2.6741,141.3028,84.51,69,88,9.06,overcast clouds
124,Okhotsk,RU,59.3833,143.3,66.74,74,36,5.55,scattered clouds
125,Harper,LR,4.375,-7.7169,74.52,73,82,8.72,broken clouds
126,Pacific Grove,US,36.6177,-121.9166,68.23,88,100,8.05,overcast clouds
127,Abu Dhabi,AE,24.4667,54.3667,87.82,60,0,13.8,clear sky
128,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,83,20,3.96,few clouds
129,Mount Isa,AU,-20.7333,139.5,69.57,23,2,14.97,clear sky
130,Pangai,TO,-19.8,-174.35,80.71,69,20,17.27,few clouds
131,Carutapera,BR,-1.195,-46.02,76.03,90,7,6.22,clear sky
132,Avarua,CK,-21.2078,-159.775,77.05,78,75,20.71,broken clouds
133,Flinders,AU,-34.5833,150.8552,62.19,44,1,7.0,clear sky
134,Grindavik,IS,63.8424,-22.4338,46.35,87,75,13.8,broken clouds
135,Souillac,MU,-20.5167,57.5167,70.18,68,40,6.91,scattered clouds
136,Geraldton,AU,-28.7667,114.6,63.01,94,100,10.36,light intensity shower rain
137,La Rioja,ES,42.25,-2.5,58.78,80,53,3.47,broken clouds
138,Bayan,CN,46.0833,127.4,76.78,86,97,11.14,light rain
139,Qasigiannguit,GL,68.8193,-51.1922,52.05,74,91,3.27,overcast clouds
140,Henties Bay,NA,-22.116,14.2845,52.61,90,2,7.23,clear sky
141,Nantucket,US,41.2835,-70.0995,78.91,94,100,10.36,mist
142,Constitucion,CL,-35.3333,-72.4167,48.31,79,0,8.9,clear sky
143,Georgetown,MY,5.4112,100.3354,86.9,77,20,6.91,few clouds
144,Nanortalik,GL,60.1432,-45.2371,43.74,87,86,2.24,overcast clouds
145,East London,ZA,-33.0153,27.9116,67.77,54,0,9.89,clear sky
146,Sargur,IN,11.9833,76.4167,73.98,77,96,2.35,overcast clouds
147,Pangnirtung,CA,66.1451,-65.7125,49.14,77,85,1.12,overcast clouds
148,Cape Town,ZA,-33.9258,18.4232,57.88,83,75,23.02,broken clouds
149,Cabo San Lucas,MX,22.8909,-109.9124,90.7,48,40,11.5,scattered clouds
150,Ponta Do Sol,PT,32.6667,-17.1,72.72,82,14,3.89,few clouds
151,Santa Maria,BR,-29.6842,-53.8069,52.9,76,75,6.91,broken clouds
152,Yerbogachen,RU,61.2767,108.0108,76.28,58,94,3.49,overcast clouds
153,Laguna,US,38.421,-121.4238,93.76,44,0,12.66,clear sky
154,Provideniya,RU,64.3833,-173.3,50.11,93,40,7.0,fog
155,Isangel,VU,-19.55,169.2667,77.11,78,100,8.05,overcast clouds
156,Chon Daen,TH,16.1895,100.8596,86.88,69,93,4.36,overcast clouds
157,Xichang,CN,27.8964,102.2634,76.35,72,29,2.82,scattered clouds
158,Guerrero Negro,MX,27.9769,-114.0611,68.83,83,20,13.85,few clouds
159,Hithadhoo,MV,-0.6,73.0833,81.99,73,100,13.6,overcast clouds
160,Remerschen,LU,49.4886,6.3517,63.93,76,14,2.71,few clouds
161,Codrington,AU,-38.2667,141.9667,53.46,56,28,3.42,scattered clouds
162,Green River,US,41.5286,-109.4662,68.99,56,60,8.99,broken clouds
163,Fukue,JP,32.6881,128.8419,86.36,66,0,6.91,clear sky
164,Dongsheng,CN,39.8161,109.9776,81.36,31,23,18.45,few clouds
165,Bure,ET,10.7,37.0667,54.27,97,100,1.86,light rain
166,Belomorsk,RU,64.5232,34.7668,55.4,90,100,6.06,overcast clouds
167,Asau,RO,46.4333,26.4,63.52,88,83,2.13,broken clouds
168,Buala,SB,-8.145,159.5921,85.21,68,80,9.66,broken clouds
169,Jieshi,CN,22.8134,115.8257,88.11,69,16,6.26,few clouds
170,Ahipara,NZ,-35.1667,173.1667,59.88,65,60,8.12,broken clouds
171,Grand Gaube,MU,-20.0064,57.6608,70.2,72,0,4.0,clear sky
172,Naifaru,MV,5.4444,73.3657,81.09,79,100,17.25,overcast clouds
173,Taoudenni,ML,22.6783,-3.9836,102.96,14,88,7.27,overcast clouds
174,Podor,MR,16.6527,-14.9587,81.07,66,82,16.73,broken clouds
175,Tiksi,RU,71.6872,128.8694,52.2,80,100,7.9,overcast clouds
176,Sukumo,JP,32.9333,132.7333,82.65,84,92,9.98,overcast clouds
177,Mana,GF,5.6592,-53.7767,76.37,88,52,5.32,broken clouds
178,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,91,15,4.65,few clouds
179,Bengbu,CN,32.9408,117.3608,85.06,68,99,6.06,overcast clouds
180,Erzin,TR,36.9559,36.2,75.79,61,0,1.59,clear sky
181,Tucupita,VE,9.0622,-62.051,73.76,97,62,3.4,broken clouds
182,Nuevo Progreso,MX,23.1667,-97.95,81.54,64,55,4.21,broken clouds
183,Mildura,AU,-34.2,142.15,59.07,62,91,7.02,overcast clouds
184,Honningsvag,NO,70.9821,25.9704,49.75,76,100,8.05,overcast clouds
185,Baykit,RU,61.67,96.37,72.39,81,100,8.41,light rain
186,Okitipupa,NG,6.5047,4.7839,71.29,98,100,2.71,light rain
187,Morogoro,TZ,-6.8167,37.6667,63.73,91,34,2.64,scattered clouds
188,Saint-Marc-Des-Carrieres,CA,46.6834,-72.0491,63.7,98,71,2.53,broken clouds
189,Izhevsk,RU,56.85,53.2333,61.12,83,62,4.54,broken clouds
190,Korla,CN,41.7597,86.1469,87.96,25,99,15.9,overcast clouds
191,Nikolskoye,RU,59.7035,30.7861,57.79,95,20,3.47,few clouds
192,Dikson,RU,73.5069,80.5464,42.78,99,100,17.54,overcast clouds
193,Saskylakh,RU,71.9167,114.0833,62.46,81,100,4.61,overcast clouds
194,Xam Nua,LA,20.4197,104.0439,86.61,48,100,1.45,overcast clouds
195,Robertsport,LR,6.7533,-11.3686,75.6,74,17,10.96,few clouds
196,Aklavik,CA,68.2191,-135.0107,51.66,66,100,6.35,overcast clouds
197,Berdigestyakh,RU,62.0989,126.6992,87.82,36,22,7.9,few clouds
198,San-Pedro,CI,4.7485,-6.6363,73.56,77,61,8.12,broken clouds
199,Tuatapere,NZ,-46.1333,167.6833,43.68,89,98,7.85,light rain
200,Chicama,PE,-7.8447,-79.1469,59.54,84,26,5.61,scattered clouds
201,Boende,CD,-0.2167,20.8667,71.22,95,100,2.66,overcast clouds
202,Kieta,PG,-6.2167,155.6333,83.46,71,94,4.14,light rain
203,San Patricio,US,28.017,-97.5169,85.89,71,82,14.03,broken clouds
204,Kananga,CD,-5.8958,22.4178,68.59,50,49,1.68,scattered clouds
205,Butaritari,KI,3.0707,172.7902,82.08,73,58,14.52,broken clouds
206,Baruun-Urt,MN,46.6806,113.2792,77.25,39,36,4.32,scattered clouds
207,Fortuna,US,40.5982,-124.1573,59.34,91,100,8.05,overcast clouds
208,Hella,NO,67.2,14.4333,51.94,85,100,11.5,overcast clouds
209,Porto Nacional,BR,-10.7081,-48.4172,71.6,39,2,1.59,clear sky
210,Upernavik,GL,72.7868,-56.1549,41.61,73,93,6.64,overcast clouds
211,Sokolo,ML,14.7328,-6.1219,76.66,80,100,7.36,heavy intensity rain
212,Tasiilaq,GL,65.6145,-37.6368,39.36,95,100,3.31,overcast clouds
213,Foz,ES,43.5692,-7.2544,63.1,83,84,3.18,broken clouds
214,Pimenta Bueno,BR,-11.6725,-61.1936,72.55,45,38,1.43,scattered clouds
215,High Rock,BS,26.6208,-78.2833,83.28,72,11,14.43,few clouds
216,Paracuru,BR,-3.41,-39.0306,80.11,86,84,12.21,broken clouds
217,Ayorou,NE,14.7308,0.9174,75.56,73,100,9.06,moderate rain
218,Ribeira Grande,PT,38.5167,-28.7,72.84,79,13,3.51,few clouds
219,Uvira,CD,-3.4067,29.1458,73.87,73,93,3.36,overcast clouds
220,Abhar,IR,36.1468,49.218,63.75,86,67,7.23,broken clouds
221,Victoria,HK,22.2855,114.1577,95.05,67,95,4.0,overcast clouds
222,Clyde River,CA,70.4692,-68.5914,37.63,100,100,6.91,overcast clouds
